Species,Long,Lat,Source
Acinonyx jubatus,-82.34957,27.90659,bison
Acinonyx jubatus,-106.66348,35.07838,bison
Acinonyx jubatus,-106.66386,35.078392,bison
Acinonyx jubatus,-97.3556,32.7214,bison
Acinonyx jubatus,-83.38421,42.66045,bison
Acinonyx jubatus,35.3382395937,-1.0523542552,inat
Acinonyx jubatus,36.9123296214,0.1931627161,inat
Acinonyx jubatus,-111.8801049379,33.5382351237,inat
Acinonyx jubatus,-111.8659090658,33.5770769609,inat
Acinonyx jubatus,-111.9353285513,33.4975270074,inat
Acinonyx jubatus,-111.9658305994,33.4628408465,inat
Acinonyx jubatus,27.1162658588,-21.5895158561,inat
Acinonyx jubatus,20.7349114178,-26.2128924294,inat
Acinonyx jubatus,31.8081257363,-24.820080207,inat
Acinonyx jubatus,31.8666655453,-25.1070090449,inat
Acinonyx jubatus,-111.8343863784,40.5647816463,inat
Acinonyx jubatus,35.0278948397,-1.2342404046,inat
Acinonyx jubatus,35.0140069316,-2.940116382,inat
Acinonyx jubatus,32.1549000913,-27.8742064952,inat
Acinonyx jubatus,35.1515698337,-1.4236315223,inat
Acinonyx jubatus,37.5728864141,0.3161212677,inat
Acinonyx jubatus,36.9493016,0.3813347867,inat
Acinonyx jubatus,22.495282256,-27.3696429142,inat
Acinonyx jubatus,31.450707885900002,-25.0948807605,inat
Acinonyx jubatus,16.6383049018,-20.8970561256,inat
Acinonyx jubatus,34.8677929184,-2.2730764125,inat
Acinonyx jubatus,-82.4766248552,28.1273793462,inat
Acinonyx jubatus,-81.7991196271,26.083582492,inat
Acinonyx jubatus,20.6509116504,-25.6645792753,inat
Acinonyx jubatus,23.9573268028,-21.5510165263,inat
Acinonyx jubatus,35.0086785009,-1.5045463748,inat
Acinonyx jubatus,25.4642132804,-33.9170713445,inat
Acinonyx jubatus,35.0839651188,-3.0910348555,inat
Acinonyx jubatus,20.6690075557,-26.5141001867,inat
Acinonyx jubatus,31.8218440111,-24.3010627913,inat
Acinonyx jubatus,35.3574573284,-1.5185737377,inat
Acinonyx jubatus,35.2948252316,-1.569249632,inat
Acinonyx jubatus,20.3219129496,-26.0189158071,inat
Acinonyx jubatus,31.3916763808,-22.9908535762,inat
Acinonyx jubatus,31.3195415747,-22.93748404,inat
Acinonyx jubatus,16.1467571976,-19.1514236974,inat
Acinonyx jubatus,30.4431667721,-24.3024190342,inat
Acinonyx jubatus,22.9446769587,-19.3570727207,inat
Acinonyx jubatus,23.2388935782,-19.4258550552,inat
Acinonyx jubatus,35.038348216,-1.3340851083,inat
Acinonyx jubatus,34.9235724957,-7.6849108191,inat
Acinonyx jubatus,31.5503225274,-23.8574523292,inat
Acinonyx jubatus,18.4392837107,-33.9028454927,inat
Acinonyx jubatus,25.1970360668,-20.4712628477,inat
Acinonyx jubatus,35.3560153094,-1.4047106621,inat
Acinonyx jubatus,-79.0897716861,43.8498921971,inat
Acinonyx jubatus,31.8433205848,-25.0797842783,inat
Acinonyx jubatus,35.0552129009,-2.6408741507,inat
Acinonyx jubatus,35.1178014318,-1.0214204639,inat
Acinonyx jubatus,16.3728048347,-19.007242564,inat
